,Publisher,count,Source_new
0," Italy; email: claudia.giorgi@unifi.it""",1,others
1," Italy; email: matteo.mannini@unifi.it""",1,others
2, Italy; email: neri@unisa.it,3,others
3,"""Ore and Metals"" Publishing house",1,others
4,"""Physics Letters, Section A: General, Atomic and Solid State Physics""",12,"""Physics Letters, Section A: General, Atomic and Solid State Physics"""
5,"""Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics""",19,"""Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics"""
6,"""Revista de Logopedia, Foniatria y Audiologia""",2,others
7,"""Sensors and Actuators, A: Physical""",9,others
8,"""Sensors and Actuators, B: Chemical""",5,others
9,"(Edizioni Unicopli, Milan), price (paperback) L.5.300",1,others
10,"(Edizioni Zara, Parma), price (paperback) US$50.00",1,others
11,"(Franco Angeli, Milano; Geografia Umana Collana), price (paperback) L28 000",1,others
12,"(Giuffre, Milan, for Finafrica Foundation; Credit Markets of Africa Series 16), price L.14 000",1,others
13,"(IAHS; Publication, 213",3,others
14,1,1,others
15,10,8,others
16,11,3,others
17,12,3,others
18,147,1,others
19,166,1,others
20,2,3,others
21,20,2,others
22,"2010 5th International Symposium on Telecommunications, IST 2010",1,others
23,"2011 3rd IEEE International Memory Workshop, IMW 2011",7,others
24,"2011 IST-Africa Conference Proceedings, IST 2011",2,others
25,2D Materials,1,others
26,"2nd Int. Conf. on Advanced Composite Materials in Bridges and Structures, Montreal August 1996",1,others
27,3,4,others
28,32998177,1,others
29,38,1,others
30,4,9,others
31,40th AIAA/ASME/SAE/ASEE Joint Propulsion Conference and Exhibit,2,others
32,44,1,others
33,45th US Rock Mechanics / Geomechanics Symposium,6,others
34,4OR,4,others
35,"4S go, s.r.o",1,others
36,5,11,5
37,6,2,others
38,7,3,others
39,755,1,others
40,8,3,others
41,9,4,others
42,A & A case reports,4,others
43,A B Academic Publishers,7,others
44,A. CARBONE Editore,483,A. CARBONE Editore
45,A. M. A. Archives of Dermatology and Syphilology,1,others
46,A. Razmadze Mathematical Institute of Iv. Javakhishvili Tbilisi State University,1,others
47,A.A. Balkema Publishers,2,others
48,A.D.A.C.,71,A.D.A.C.
49,A.M.A Archives of Internal Medicine,2,others
50,A.M.A Archives of Surgery,2,others
51,A.M.A. Archives of Ophthalmology,4,others
52,A.M.A. Archives of Otolaryngology,12,A.M.A. Archives of Otolaryngology
53,A.M.S.E. review,1,others
54,A.N.A.E,3,others
55,A.O. Kovalevsky Institute of Biology of the Southern Seas of RAS,1,others
56,A.S.B.L. Degres,3,others
57,"AAAI, Menlo Park, CA, United States",2,others
58,AAC: Augmentative and Alternative Communication,4,others
59,AACL Bioflux,2,others
60,AAGR Aerosol and Air Quality Research,27,AAGR Aerosol and Air Quality Research
61,AAPG Bulletin,2,others
62,AAPG Memoir,4,others
63,AAPM - American Association of Physicists in Medicine,43,AAPM - American Association of Physicists in Medicine
64,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",95,"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali"
65,AAPS Journal,16,AAPS Journal
66,AAPS PharmSci,2,others
67,AAPS PharmSci Editorial Office,31,AAPS PharmSci Editorial Office
68,AAPS PharmSciTech,62,AAPS PharmSciTech
69,AAPS pharmSci,1,others
70,AAS History Series,1,others
71,"AB Acad Publ, Oxon, United Kingdom",1,others
72,ABC-press Publishing House,5,others
73,"ABEQ, Sao Paulo",1,others
74,ABES - Associacao Brasileira de Engenharia Sanitaria e Ambiental,2,others
75,ACAD. PRESS LONDON,1,others
76,"ACAD.PRESS INC., LONDON",1,others
77,ACADEMIEI ROMANE,5,others
78,ACC Current Journal Review,1,others
79,ACG Publications,19,ACG Publications
80,ACH - Models in Chemistry,1,others
81,ACI Materials Journal,16,ACI Materials Journal
82,ACI Structural Journal,69,ACI Structural Journal
83,ACM Computing Surveys,38,ACM Computing Surveys
84,ACM Computing Surveys (CSUR),4,others
85,ACM Inroads,2,others
86,ACM Journal of Experimental Algorithmics,6,others
87,ACM Journal on Emerging Technologies in Computing Systems,6,others
88,ACM SIGCSE Bulletin,2,others
89,ACM SIGIR Forum,2,others
90,ACM SIGMIS Database,3,others
91,ACM SIGMOD Record,17,ACM SIGMOD Record
92,ACM SIGPLAN Notices,40,ACM SIGPLAN Notices
93,ACM Transactions on Accessible Computing,1,others
94,ACM Transactions on Algorithms,18,ACM Transactions on Algorithms
95,ACM Transactions on Applied Perception,11,ACM Transactions on Applied Perception
96,ACM Transactions on Autonomous and Adaptive Systems,19,ACM Transactions on Autonomous and Adaptive Systems
97,ACM Transactions on Computation Theory,2,others
98,ACM Transactions on Computational Logic,82,ACM Transactions on Computational Logic
99,ACM Transactions on Computer Systems,1,others
100,ACM Transactions on Computer Systems (TOCS),3,others
101,ACM Transactions on Computer-Human Interaction,3,others
102,ACM Transactions on Computing Education,1,others
103,ACM Transactions on Database Systems,21,ACM Transactions on Database Systems
104,ACM Transactions on Database Systems (TODS),19,ACM Transactions on Database Systems (TODS)
105,ACM Transactions on Design Automation of Electronic Systems,13,ACM Transactions on Design Automation of Electronic Systems
106,ACM Transactions on Embedded Computing Systems,11,ACM Transactions on Embedded Computing Systems
107,ACM Transactions on Graphics,13,ACM Transactions on Graphics
108,ACM Transactions on Graphics (TOG),4,others
109,ACM Transactions on Information Systems,11,ACM Transactions on Information Systems
110,ACM Transactions on Information Systems (TOIS),9,others
111,ACM Transactions on Information and System Security,28,ACM Transactions on Information and System Security
